LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
6605;50;*Bez*;*Bez*;10857;8020584696811;08.6968.10(562065);KOČ. DISK ZAD. MERC. VITO ;;;;;KOM;2,00;44,00;54,50;63,77;;0,00;;D
6625;50;*Bez*;*Bez*;10892;3322937008285;BWD119;KOČIONI CILINDAR OPEL CORSA B ;;;;;KOM;1,00;12,70;19,00;22,23;;0,00;;D
6702;50;*Bez*;*Bez*;11446;5413978127825;53234;KRAJNICA PEŽO 205/305/306/505CITROEN LX+DX ;;;;;KOM;1,00;7,00;10,44;12,21;;0,00;;D
6720;50;*Bez*;*Bez*;15378;4260029170092;8/1;PASTA ZA RUKE LIGA EXTRA 8 KG ;;;;;KOM;1,00;23,685;24,51;28,68;;0,00;;D
6799;50;*Bez*;*Bez*;11140;4006633275484;83.7705-0386.3;KOČIONO CRIJEVO PR W202 93- ;;;;;KOM;2,00;8,97;12,82;15,00;;0,00;;D
6882;50;*Bez*;*Bez*;11718;5055107433744;5W-40 3000 X1 1/1;MOBIL SUPER 3000 X1 5W-40 1/1 ;;;;;KOM;15,00;9,3967;12,82;15,00;;0,00;;D
7287;50;*Bez*;*Bez*;15170;4011231754460;0731100;OSIGURAČI UBODNI SET ;;;;;KOM;3,00;3,20;3,84;4,49;;0,00;;D
7306;50;*Bez*;*Bez*;11456;8435130307613;91-90402-2;KRAJNICA RENO MEGAN/SENIC LX 2.99- ;;;;;KOM;2,00;13,00;15,50;18,14;;0,00;;D
7307;50;*Bez*;*Bez*;11457;1971902;1971902;KRAJNICA SPRINTER ;;;;;KOM;6,00;23,00;27,60;32,29;;0,00;;D
7310;50;*Bez*;*Bez*;11462;8435130304285;91-00959-2;KRAJNICA TR. T4 LX ;;;;;KOM;1,00;12,00;15,60;18,25;;0,00;;D
